Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
1980,0.34,0,0.77,2.71,0,0,0,0,7.07,0,0.49,0
1981,14.84,0,0,0,6.93,2.24,0.48,0,10.04,0.45,0.79,0
1982,6.52,0,0,0.87,5.03,10.03,1.57,0,3.79,0,1.05,0
1983,2.86,0.4,0,2.14,6.93,0.78,0,0,0.48,0,3.2,0
1984,1.85,0,0,1.45,0.69,3.14,5.95,0,31.1,0,6.18,0
1985,3.52,0,1.05,0,43.17,3.21,0,0,1,0.03,1.96,0
1986,13.74,0,0,0,9.39,0,1.96,2.52,3.89,0,5.57,0
1987,1.12,4.38,5.42,0,1.74,0,0,4.65,0.71,0,3.72,0
1988,1.75,0,0,0,27.73,5.58,2.14,5.88,0.51,0.03,3.6,0
1989,4.64,0,0,1.28,20.66,37.75,0,2.2,1.2,0,5.72,0
1990,6.39,0,0,0,22.97,6,6.26,4.52,0,1.14,2.11,0
1991,6.76,2.24,0.39,0.08,7.64,3.24,1.14,3.25,2,2.14,2.41,0.94
1992,3.83,12.24,15.25,4.94,13.42,4.84,9.04,6.86,0.29,2.14,2.95,0.36
1993,1.81,0.07,8.75,0.3,18.67,3.17,0.36,5.59,3.08,0.19,3.18,0.81
1994,1.55,3.74,8.47,2.86,28.74,1.53,2.19,6.97,8.3,2.73,8.39,3.56
1995,3.57,0.72,14.85,6.4,16.69,2.71,6.09,14.26,4.15,4.18,7.98,6.51
1996,20.58,4.19,18.06,10.68,28.23,3.91,28.24,43.96,6.91,11.33,17.45,5.61
1997,27.58,4.96,11.76,5.69,21.85,5.89,31.91,21.79,22.17,9.65,30.02,7.71
1998,39.44,8.41,31.66,11.94,29.88,6.34,27.9,28.09,9.8,5.28,41.79,13.47
1999,27.78,7.6,14.26,20.65,20.82,1.36,37.27,49.09,12.25,11.44,30.29,18.46
2000,33.74,2.88,20.22,15.54,16.06,3.82,19.99,29.03,6.81,3.38,41.19,8.5
2001,59.35,7.45,18.12,16.4,38.72,7.87,55.81,22.06,24.77,19.54,51.43,7.55
2002,86.77,10.12,25.02,15.66,45.6,5.34,30.18,45.13,48.58,10.81,65.42,5.56
2003,67.76,2.14,23.73,23.82,42.89,0.48,52.19,30.28,26.99,21.16,56.11,7.99
2004,76.26,8.7,16.78,31.32,47.34,8.43,47.86,53.92,46.95,10.85,63.67,7.14
2005,84.88,8.53,19.72,59.44,22.76,20.45,56.42,28.26,41.6,49.27,59.54,5.37
2006,66.55,11.43,22.55,67.35,49.8,10.85,34.08,57.73,38.37,21.65,136.16,4.27
2007,103.12,24.23,17.61,92.21,35.59,24,38.83,43.66,71.04,48.97,98.2,9.02
2008,136.04,24.92,35.38,86.77,35.7,15.59,70.66,59.55,59.41,46.67,95.34,11.67
2009,139.34,20.01,32.15,76.47,41.09,20.31,34.19,47.9,67.15,33.71,138.29,12.09
2010,117.64,16.52,14.89,96.78,31.81,11.18,34.93,70.41,76.31,22.15,92.38,13.77
2011,118.96,15.97,22.68,54.81,28.04,5.11,35.01,53.37,98.13,15.28,56.99,8.98
2012,122.04,5.99,9.51,22.92,18.55,1.76,14.46,47.81,72.86,13.38,30.92,3.33
2013,125.22,6.59,7.21,25.65,25.12,0.99,13.04,44.92,62.8,8.67,41.55,6.33
2014,99.02,6.06,16.14,23.68,8.89,1.5,16.69,45.86,66,5.55,46.66,0.99
2015,69.82,8.03,7.78,11.69,6.05,0.7,7.92,36.44,66.15,5.62,41.54,1.82
2016,19.91,1.79,3.86,1.17,2.07,0,1.64,6.76,18.22,0.39,14.6,0.5
